日语一级至四级级词汇表																
汉字	假名(读音)	词性	词义
約	やく	名，副	约会、大约
厄	やく	名	灾祸；厄运之年
役員	やくいん	名	负责人；领导、董事
薬害	やくがい	名	药物引起的副作用、要害
やくざ	やくざ	名	黑社会成员、流氓；赌徒；废物
役者	やくしゃ	名	演员；有才干的人、人才
役所	やくしょ	名	政府机关、官厅
躍如	やくじょ	形動	栩栩如生、逼真
役職	やくしょく	名	官职、职务；要职
躍進	やくしん	名，サ変	跃进
訳す	やくす	他五	翻译、译
薬草	やくそう	名	药用植物、药草
約束	やくそく	名，サ変	商定、约定；约会；契约；规则；宿命；指望
役立つ	やくだつ	自五	起作用、有用、有效
役立てる	やくだてる	他下一	应用、供使用
躍動	やくどう	名，サ変	跃动、跳动、（朝气）蓬勃
役人	やくにん	名	官吏、官员、公务员
薬品	やくひん	名	药品、药物
役目	やくめ	名	任务、职责、使命、作用
薬用	やくよう	名	药用
櫓	やぐら	名	箭楼、高台
役割	やくわり	名	分配任务；角色、作用
自棄	やけ	名	自暴自弃
夜景	やけい	名	夜景、夜色
焼石	やけいし	名	烧热的石头
火傷	やけど	名，サ変	烧伤、烫伤；遭殃、吃亏
焼ける	やける	自下一	燃烧、着火；烤制、烧成；晒、日光浴；变色；炽热；红霞；烧心
妬ける	やける	自下一	嫉妒、吃醋
夜行	やこう	名	夜行；夜行车
野菜	やさい	名	蔬菜、青菜
矢先	やさき	名	箭头；恰巧这时；目标、靶子
易しい	やさしい	形	容易、简单、易懂
優しい	やさしい	形	温柔、柔和；和蔼、娴淑；殷切
野師，香具師	やし	名	江湖艺人、走江湖者、摊贩
椰子	やし	名	椰子
野次馬	やじうま	名	看热闹、起哄（的人）
屋敷	やしき	名	住宅、宅第；建筑用地、地皮
養う	やしなう	他五	抚养、养育；养活、供养；饲养；收养（子女）；养成；养生、培养
矢印	やじるし	名	箭形符号
社	やしろ	名	神社、神殿、庙
野心	やしん	名	雄心、野心；祸心
安上がり	やすあがり	名，形動	省钱、俭省、廉价
安い	やすい	形	便宜、低廉、贱
易い	やすい	形，接尾	容易、简单；易……、容易……
安売り	やすうり	名，サ変	减价出售、贱卖；轻易接受、答应
安っぽい	やすっぽい	形	不值钱、便宜；庸俗、令人瞧不起、浅薄浮华
休まる	やすまる	自下一	心静、休息、安宁
休み	やすみ	名	休息；睡觉；休假；缺席、缺勤、请假；中断
休み休み	やすみやすみ	副	断断续续的、干一会儿歇一会儿
休む	やすむ	自他五	休息；睡觉；旷工、旷课、缺席、休假、请假；停歇、暂停
休める	やすめる	他下一	使身心得以放松；使……得以休息；使（农田）休耕
安物	やすもの	名	便宜货、不值钱的东西
安らか	やすらか	形動	平稳、安稳；安乐、无忧无虑
安らぐ	やすらぐ	自五	安乐、安稳、舒畅
野性	やせい	名	野性、粗野
野生	やせい	名，サ変	野生
痩せ我慢	やせがまん	名，サ変	逞能、硬撑、硬着头皮做
痩せる	やせる	自下一	消瘦；土地贫瘠
野戦	やせん	名	野战；战场、战地
屋台	やたい	名	摊床、摊位；舞台
屋台骨	やたいぼね	名	建筑物的支架；支撑物、顶梁柱
矢鱈	やたら	副，形動	任意、胡乱、过分
野鳥	やちょう	名	野鸟、山禽
家賃	やちん	名	房租
奴	やつ	名，代	（用于蔑视或亲密人之间的称呼）小子、家伙、东西；指物；他、那个家伙、那小子
八つ当たり	やつあたり	名，サ変	迁怒、乱发脾气
厄介	やっかい	名，形動	麻烦、难对付；照顾、照料、帮助
躍起	やっき	名，形動	急躁、着急；积极、热衷、拼命
矢継ぎ早	やつぎばや	名，形動	一个接一个、连续不断
薬局，薬鋪	やっきょく	名	药店、药铺；药房、取药处
奴	やっこ	名	奴仆、下人；家伙；凉拌豆腐丁
薬効	やっこう	名	药效、药力
奴豆腐	やっこ豆腐	名	凉拌豆腐丁
窶す	やつす	他五	化装、扮装
八つ	やっつ	名	八个、八岁
やっつける	やっつける	他一	干完、做完；（狠狠地）整一顿、教训、干掉；打败、击败
やって来る	やってくる	連語	“来る”的强调形
やっと	やっと	副	终于、好容易；勉强、好歹
奴ら	やつら	名	这些家伙、这些东西
窶れる	やつれる	自下一	消瘦、憔悴
宿	やど	名	家、房屋；临时住处、旅馆
雇う	やとう	他五	雇佣
野党	やとう	名	在野党
宿す	やどす	他五	怀孕；留下、留住、种下；留宿、留住
宿賃	やどちん	名	房租；旅馆费、店钱
宿屋	やどや	名	住处；旅店、旅馆、客栈
宿る	やどる	自五	居住；住宿；存在、存有；寄生；怀孕；映照、映
柳	やなぎ	名	柳、柳树
柳腰	やなぎごし	名	杨柳细腰
脂	やに	名	烟油渍；树脂；眼屎
家主	やぬし	名	一家之主、户主；房东、房主
屋根	やね	名	房顶、屋顶；盖、蓬
やばい	やばい	形	危险
矢張り	やはり	副	同样、也；依旧、依然；果然；毕竟还是、终归还是
夜半	やはん	名	半夜、夜半
野蛮	やばん	名，形動	野蛮、粗野
野卑	やひ	名，形動	粗野、下流、卑鄙
藪	やぶ	名	草丛、灌木丛；竹丛
藪医者	やぶいしゃ	名	庸医
破る	やぶる	他五	撕破、弄破；搞坏、破坏；违反；打破、突破；打败
破れる	やぶれる	自下一	破裂；破损；失败、破灭；输、被打败
敗れる	やぶれる	自下一	败北、失败
夜分	やぶん	名	夜晚、夜间
野暮	やぼ	名，形動	土气、俗气；不懂人情世故
野望	やぼう	名	野心、奢望
野暮ったい	やぼったい	形	土气、俗气
山	やま	名	山岳、小山；矿山；成堆、堆积如山；凸出的部分；成堆；最高峰、最高潮；押宝、投机
病	やまい	名	病；坏毛病
山崩れ	やまくずれ	名	山崩
山師	やまし	名	矿山工作者、找矿人；买卖山林的人；投机家；骗子
疚しい	やましい	形	内疚、愧疚
大和	やまと	名	日本的古称
山の手	やまのて	名	山的附近；（特指东京地势高的）住宅区
山登	やまのぼり	名，サ変	登山、爬山
山道	やまみち	名	山道、山路
闇	やみ	名	黑暗、黑夜；心中没数、迷惑；黑市、黑货
闇市	やみいち	名	黑市
闇相場	やみそうば	名	黑市价格
病みつく	やみつく	自五	生病；入迷、狂热
闇夜	やみよ	名	黑夜
止む	やむ	自五	停止、结束；停、罢休
病む	やむ	自他五	患病；忧虑、忧伤、烦恼
已む無く	やむなく	副	无可奈何、只好、不得不
止める	やめる	他下一	中止、取消、放弃、作罢
辞める	やめる	他下一	辞退、辞职、停（学）
寡，鰥	やもめ	名	寡妇；鳏夫
稍	やや	副	一点点、稍稍；不大工夫、一会儿；渐渐地
ややこしい	ややこしい	形	复杂、麻烦
ややもすると	ややもすると	副	动不动就、动辄
揶揄	やゆ	名，サ変	嘲弄、嘲笑、奚落、揶揄
弥生	やよい	名	旧历三月
槍	やり	名	长枪、矛；枪法；标枪
遣り方	やりかた	名	做法、手段、方法
遣り切れない	やりきれない	形	干不完、完成不了；无法忍耐、受不了
遣りっ放し	やりっぱなし	名	工作没做完就放下不管
やり手	やりて	名	干将、能手；赠送者
遣り遂げる	やりとげる	他下一	完成、做完、干到底
やり直す	やりなおす	他五	重干、重做、另做
やり場	やりば	名	送去的地方、应放的地方
遣る	やる	他五	送、派去；挪至、放在；面向；进行；给与；发生、做；举办、上演；经营、从事；喝、吃；生活；表示为别人干；给……看
やる気	やるき	名	干劲
遣る瀬無い	やるせない	形	郁郁不乐、不开心
やれやれ	やれやれ	感	（表示放心、感动得语气）哎呀；（表示失望的语气）哎呀呀
野郎	やろう	名	小子、混蛋；男人、小伙子；那家伙
柔	やわ	形動	柔软、柔弱、不结实
柔らか	やわらか	形動	柔软；温和
柔らかい	やわらかい	形	不硬的；柔软的；温和、平易的；轻松、通俗；融通的
和らげる	やわらげる	他下一	使柔和、使缓和；使文章等通俗易懂
やんちゃ	やんちゃ	名，形動	调皮、任性、淘气
やんわり	やんわり	副，サ変	温和、柔和、委婉、柔软
湯	ゆ	名	热水；澡堂、浴室；温泉
湯上り	ゆあがり	名	刚洗完澡；大浴巾；浴衣
唯一	ゆいいつ	名	唯一
遺言	ゆいごん	名，サ変	遗言、遗嘱
由緒	ゆいしょ	名	来由、来历；行为的根据；缘由、缘故
結納	ゆいのう	名	订婚礼、彩礼、聘礼、定礼
唯美	ゆいび	名	唯美
唯物	ゆいぶつ	名	唯物
有	ゆう	名	有
結う	ゆう	他五	系、结、捆扎；梳扎
友愛	ゆうあい	名	友爱
優位	ゆうい	名，形動	优势、优越地位
有意義	ゆういぎ	名，形動	有意义、有价值
誘因	ゆういん	名	诱因、原因、起因
誘引	ゆういん	名，他五	引诱、劝诱
憂鬱	ゆううつ	名，形動	忧郁、阴郁、郁闷
有益	ゆうえき	名，形動	有益、有用
優越	ゆうえつ	名，サ変	优越
遊園地	ゆうえんち	名	游乐场、娱乐场
優雅	ゆうが	名，形動	幽雅、优美
誘拐	ゆうかい	名，サ変	诱拐、拐骗
融解	ゆうかい	名，サ変	融化、融解；溶化、溶解
有害	ゆうがい	名，形動	有害、无用
遊学	ゆうがく	名，サ変	游学、留学
夕方	ゆうがた	名	傍晚
勇敢	ゆうかん	形動	勇敢
夕刊	ゆうかん	名	晚报
勇気	ゆうき	名	勇气
友誼	ゆうぎ	名	友谊、友情
遊戯	ゆうぎ	名，サ変	游戏；游戏、玩耍
悠久	ゆうきゅう	名，形動	悠久、永久
有給	ゆうきゅう	名	带工资、有薪
夕霧	ゆうぎり	名	晚雾
優遇	ゆうぐう	名，サ変	优遇、优待
夕暮れ	ゆうぐれ	名	傍晚、黄昏
遊撃	ゆうげき	名	游击；（棒球）游击手
幽玄	ゆうげん	名，形動	玄奥、奥妙、深奥、余韵
有限	ゆうげん	名，形動	有限
友好	ゆうこう	名	友好
有効	ゆうこう	名，形動	有效；起效
融合	ゆうごう	名，サ変	融合；合并；调和
融資	ゆうし	名，サ変	贷款、融资
有識	ゆうしき	名	博学多知
優秀	ゆうしゅう	名，形動	优秀
遊女	ゆうじょ	名	艺妓、歌伎；娼妓
優勝	ゆうしょう	名，サ変	优胜、冠军
友情	ゆうじょう	名	友谊
夕食	ゆうしょく	名	晚饭
友人	ゆうじん	名	朋友
有数	ゆうすう	名，形動	屈指可数、首屈一指
融通	ゆうずう	名，サ変	灵活、临机应变；通融、挪借
夕涼み	ゆうすずみ	名，サ変	傍晚纳凉
有する	ゆうする	サ変	拥有
優勢	ゆうせい	名，形動	优势
郵政	ゆうせい	名	邮政
優先	ゆうせん	名，サ変	优先
悠然	ゆうぜん	副，形動	悠然、悠闲；从容不迫
郵送	ゆうそう	名，サ変	邮寄
雄大	ゆうだい	名，形動	雄伟、宏伟、宏大
夕立	ゆうだち	名	骤雨、雷阵雨
勇断	ゆうだん	名	勇断、果断、果敢决定
優等	ゆうとう	名	优等
誘導	ゆうどう	名，サ変	诱导、引诱；诱导、感应
夕凪	ゆうなぎ	名	傍晚海上变得风平浪静
有能	ゆうのう	名，形動	有才能、能干
誘発	ゆうはつ	名，サ変	诱发、引起
夕日	ゆうひ	名	夕阳
郵便	ゆうびん	名	邮政；邮件
裕福	ゆうふく	名，形動	富裕、优裕
夕べ	ゆうべ	名	傍晚；晚会
昨夜	ゆうべ	名	昨晚
雄弁	ゆうべん	名，形動	雄辩
有望	ゆうぼう	形動	有希望、有前途
遊牧	ゆうぼく	名，サ変	游牧
有名	ゆうめい	形動	有名、著名、闻名
夕焼け	ゆうやけ	名	火烧云、晚霞
夕闇	ゆうやみ	名	薄暮、暮色、黄昏
悠々	ゆうゆう	副，形動	悠悠然；宽绰、宽裕；悠长、悠远
猶予	ゆうよ	名，サ変	犹豫；缓期、延期
悠揚	ゆうよう	形動，副	悠然、不慌张
遊覧	ゆうらん	名，サ変	游览
有利	ゆうり	形動	有利可图；有优势、有利
憂慮	ゆうりょ	名，サ変	忧虑
優良	ゆうりょう	名，形動	优良
有力	ゆうりょく	形動	有权势、有希望；有力的、站得稳脚跟的
幽霊	ゆうれい	名	幽灵、鬼魂、亡灵；有名无实
優劣	ゆうれつ	名	优劣
融和	ゆうわ	名，サ変	调和、融合；和睦、和解、妥协
誘惑	ゆうわく	名，サ変	诱惑、引诱
故	ゆえ	名	理由；来头；因……原因
所以	ゆえん	名	原因、来由、根据
床	ゆか	名	地板
愉快	ゆかい	形動	愉快、快乐
床板	ゆかいた	名	地板
浴衣	ゆかた	名	浴衣、夏天穿的和服
歪む	ゆがむ	自五	歪斜；行为不正、歪
歪める	ゆがめる	他下一	扭歪、歪曲
縁	ゆかり	名	因缘、关系
雪	ゆき	名	雪；洁白、雪白
行き当たる	ゆきあたる	自五	走到头；面对；无法进展
雪国	ゆきぐに	名	雪国、雪多的地方
行き先	ゆきさき	名	目的地；所到的地方；将来
雪だるま	ゆきだるま	名	雪人
雪解け	ゆきどけ	名	雪融、化雪；（关系）缓和、解冻
行き届く	ゆきとどく	自五	周到、周密、无微不至
行き悩む	ゆきなやむ	自五	停止、艰难前进、难以进展
行く	ゆく	自五	去、往；送到；经过、离开；上学；长大；进展；进行
逝く	ゆく	自五	死去；流失
行方	ゆくえ	名	去向、行踪；将来、前途
行く先	ゆくさき	名	目的地；将来、前途
湯気	ゆげ	名	蒸汽、热气
輸血	ゆけつ	名，サ変	输血
輸出	ゆしゅつ	名，サ変	输出、出口
柚子	ゆず	名	柚子
濯ぐ	ゆすぐ	他五	洗濯、涮
揺すぶる	ゆすぶる	他五	晃动、震撼、摇动
強請	ゆすり	名	敲诈、勒索
譲る	ゆずる	他五	转让；出让；谦让、尊让；让步；延期
輸送	ゆそう	名，サ変	输送、运输
豊か	ゆたか	形動	富裕；丰富；悠然；足够、十足
委ねる	ゆだねる	他下一	委托；奉献、献身
油断	ゆだん	名，サ変	疏忽、麻痹
癒着	ゆちゃく	名，サ変	粘连；勾结
ゆっくり	ゆっくり	副，サ変	慢慢；悠闲、充裕；迟迟；宽敞、舒服
ゆったり	ゆったり	副，サ変	宽敞、舒适；悠闲
茹でる	ゆでる	他下一	烫、煮、蒸
ゆとり	ゆとり	名	（指空间、时间、金钱、精神上的）宽裕、余裕
輸入	ゆにゅう	名，サ変	进口；引进
湯飲み	ゆのみ	名	茶碗
湯葉	ゆば	名	豆腐皮、油皮
指	ゆび	名	手指、指头
指折り	ゆびおり	名	屈指可数；掐指算来
指きり	ゆびきり	名，サ変	拉钩立誓
指先	ゆびさき	名	手指脚趾的前端、指头
指差す	ゆびさす	他五	用手指向
指輪	ゆびわ	名	戒指
弓	ゆみ	名	弓
弓矢	ゆみや	名	弓与箭；武器；武士道
夢	ゆめ	名	梦、梦想；虚幻、渺茫；希望、思想；犹豫、迷茫
夢現	ゆめうつつ	名	睡梦中、半睡半醒、似睡非睡
夢心地	ゆめごこち	名	宛如做梦、梦境、恍恍惚惚
夢にも	ゆめにも	副	做梦也没、万没……
夢幻	ゆめまぼろし	名	梦幻、虚幻、无常
夢見	ゆめみ	名	做梦、所见之梦
夢見る	ゆめみる	自他上一	做梦；梦想、幻想
由来	ゆらい	名，サ変	起源、来历；原来、本来
揺らぐ	ゆらぐ	自五	摇晃；动摇
ゆらりと	ゆらりと	副	轻轻摇晃、缓慢地
百合	ゆり	名	百合
揺り動かす	ゆりうごかす	他五	使摇晃、使动摇、摇撼、震撼
緩い	ゆるい	形	不紧、松弛；缓、不陡；不急、缓慢；不坚硬；不严厉
揺るがす	ゆるがす	他五	震动、动摇；使受惊、使不安
許す	ゆるす	他五	豁免、饶恕；允许、准许；条件允许、容许；接受；信赖、托付；放松、松弛；让、放；公认、认可；免、免除
緩む	ゆるむ	自五	松懈；减缓；坡度缓的；解冻；松懈、缓和；行情跌价
緩める	ゆるめる	他下一	放松、松懈；放慢、减慢；坡度小；缓和、放宽
緩やか	ゆるやか	形動	缓慢、平缓；慢坡、坡度小；松懈
揺れる	ゆれる	自下一	摇晃、摇动；动荡；动摇
湯沸し	ゆわかし	名	烧水壶、水壶
世	よ	名	世上、世间；人生；佛教中的过去、现在、未来三世；时势；时代
夜	よ	名	夜、晚上
夜明	よあけ	名	天亮、黎明时分
宵	よい	名	夜晚
良い	よい	名，接尾	好、优秀；美丽；恰好、适当；有益；令人满意；完成、充分；幸运；方便、没关系；关系好；希望；价格不菲；开心；用……（しよい）的形式表示简单、容易
よいしょ	よいしょ	感	用劲时发出的声音、呼嗨
酔いしれる	よいしれる	自下一	酩酊大醉；沉溺于
余韻	よいん	名	回声、反向；余韵、余味
酔う	よう	自五	喝醉；晕车或船等；陶醉、入神
用	よう	名	（要办的）事情、工作；用途、功能；上厕所
洋	よう	名	海洋；西洋的东西
容易	ようい	形動	简单、方便
用意	ようい	名，サ変	准备、预备；注意、警惕
養育	よういく	名，サ変	培养、培育
要員	よういん	名	工作人员、必要的人员
要因	よういん	名	主要原因
溶液	ようえき	名	溶液
八日	ようか	名	八天、八号
妖怪	ようかい	名	妖魔、妖怪
容喙	ようかい	名，サ変	插嘴、干预、过问
溶解，熔解	ようかい	名，サ変	融（溶）化；融（溶）解
洋菓子	ようがし	名	西点、西式糕点
羊羹	ようかん	名	羊羹
溶岩	ようがん	名	熔岩
容器	ようき	名	容器
陽気	ようき	名，形動	活泼、爽朗、快乐；气候、天气
容疑	ようぎ	名	嫌疑
要求	ようきゅう	名，サ変	要求、请求
用件	ようけん	名	要紧的事、重要之事
擁護	ようご	名，サ変	拥护、支持
用語	ようご	名	措辞、用语、术语
養護	ようご	名，サ変	培养、照顾；保健
要項	ようこう	名	要点、重点
陽光	ようこう	名	阳光、日光
ようこそ	ようこそ	感	欢迎、热烈欢迎
溶剤	ようざい	名	溶剂、溶媒
用紙	ようし	名	用纸、格式纸
要旨	ようし	名	重点、要点
養子	ようし	名	继子、养子
幼児	ようじ	名	幼儿
幼時	ようじ	名	幼时、孩提时
楊枝	ようじ	名	牙签
用事	ようじ	名	事、事情
様式	ようしき	名	文体、风格、格调；格式；作法、样式
洋室	ようしつ	名	西式房间
容赦	ようしゃ	名，サ変	宽恕、原谅；姑息、留情
要所	ようしょ	名	要冲、要地；要点
養生	ようじょう	名，サ変	养生；疗养、保养；保护、防护
洋食	ようしょく	名	西式料理、西餐
要職	ようしょく	名	要职、重要职务
養殖	ようしょく	名，サ変	养殖
要人	ようじん	名	地位重要之人、主要指政治方面的要员
用心	ようじん	名，サ変	注意、警戒、慎重、小心
様子	ようす	名	情况、情形；举止、态度；光景、征兆；缘故
要する	ようする	サ変	需要
要するに	ようするに	副	总而言之
妖精	ようせい	名	妖怪；妖怪、精灵、仙女
要請	ようせい	名，サ変	要求、愿望
陽性	ようせい	名，形動	快活、开朗；阳性反应
養成	ようせい	名，サ変	造就、培训、培养
溶接	ようせつ	名，サ変	焊接、熔接
夭折	ようせつ	名，サ変	夭折、夭亡
要素	ようそ	名	成分、要素；因素
様相	ようそう	名	样子、状态
洋装	ようそう	名	西服、西装；指书的西式装祯
様態	ようたい	名	情况、样子、状态
容体，容態	ようだい	名	病情、病状；打扮、装束
用立てる	ようだてる	他下一	用、使用；借给、垫付
幼稚	ようち	形動	年幼；幼稚
用地	ようち	名	占地、所用之地
要地	ようち	名	重地、要冲；要位
要注意	ようちゅうい	名	需要注意之事
腰痛	ようつう	名	腰痛
要点	ようてん	名	要点
用途	ようと	名	用途
容認	ようにん	名，サ変	承认、容忍
幼年	ようねん	名	幼年、幼时
曜日	ようび	名	星期
用品	ようひん	名	用具、用品
洋風	ようふう	名	西洋式
洋服	ようふく	名	西装
養分	ようぶん	名	养分
容貌	ようぼう	名	容貌、相貌
要望	ようぼう	名，サ変	迫切期望、要求、愿望
洋間	ようま	名	西式房间
羊毛	ようもう	名	羊毛
漸く	ようやく	副	总算、终于；渐渐地；好不容易、好歹
要約	ようやく	名，サ変	大意、摘要、要旨
洋々	ようよう	形動	浩渺；有前途、前途无量；汪洋
要覧	ようらん	名	概要、简章
擁立	ようりつ	名，サ変	拥立
容量	ようりょう	名	容量、容积
用量	ようりょう	名	用量、剂量
要領	ようりょう	名	要点；窍门、诀窍、方法
用例	ようれい	名	实例、例句、例子
予科	よか	名	预料
余暇	よか	名	空暇、业余时间
良かれ悪しかれ	よかれあしかれ	副	不管是好是坏、无论怎样、好歹
予感	よかん	名，サ変	预感、预兆
予期	よき	名，サ変	预期、事先所期待的
余儀ない	よぎない	形	无奈、不得已
余興	よきょう	名	余兴
預金	よきん	名，サ変	存款
欲	よく	名	欲望、贪欲
よく	よく	副	充分、完全；做得好；太好了、真好；经常；居然、难为；竟敢
翌朝	よくあさ	名	第二天早餐
抑圧	よくあつ	名，サ変	镇压、抑制、压迫、压制
抑止	よくし	名，サ変	抑制、制止
浴室	よくしつ	名	浴室
翌日	よくじつ	名	次日、第二天
抑制	よくせい	名，サ変	抑制
浴槽	よくそう	名	浴缸、浴桶
欲張る	よくばる	自五	贪得无厌、贪婪
欲望	よくぼう	名	欲望
抑揚	よくよう	名	抑扬顿挫
よくよく	よくよく	副，形動	反复地、充分地；非常、特别；万不得已
翌々	よくよく	接頭	第三
翼々	よくよく	形動	慎重、小心
余計	よけい	名，形動，副	多、更多；多余的；无用、白费；格外、越发
避ける	よける	他下一	回避、躲避；防御、挡，避
預言	よげん	名，サ変	预言、推测
横	よこ	名	横、宽；横向；旁边；横线
横顔	よこがお	名	侧面、侧脸；侧面象、侧影
横切る	よこぎる	他五	穿过、横穿
邪	よこしま	名，形動	不正经、邪恶
寄越す	よこす	他五	寄来、送过来；派人来
汚す	よごす	他五	弄脏；污染；贬低、侮辱
横好き	よこずき	名	对专业以外的事物很喜爱
横たわる	よこたわる	自五	横躺；摆着；横放、横亘
横綱	よこづな	名	相扑力士中最高等级、冠军；超群、出众
横幅	よこはば	名	宽度、宽幅
横目	よこめ	名	斜眼、斜视
横文字	よこもじ	名	横着写的文字、西洋文字
汚れ	よごれ	名	脏污、污垢；污点、不光彩的地方
汚れる	よごれる	自下一	弄脏；污染；不干净、玷污
予算	よさん	名	预算；预定经费
よし	よし	感	好了；好
由	よし	名	缘故、理由；方法、手段；内容、事由；听说
良し悪し	よしあし	名	好坏、善恶；有利有弊
よじ登る	よじのぼる	自五	攀登、攀援
誼	よしみ	名	友情、友谊；交情、因缘
予習	よしゅう	名，サ変	预习
捩る	よじる	他五	扭、弯曲
捩れる	よじれる	自下一	扭歪、拧
止す	よす	他五	停止、作罢
寄席	よせ	名	曲艺场、说书场
寄せ集め	よせあつめ	名	拼凑
寄せる	よせる	自他下一	使靠近；集中；加；赠送；接近、逼近；依靠；访问、拜访；借口、托故；寄予、寄托
予選	よせん	名，サ変	预选
余所，他所	よそ	名	别处；旁边；别人；无视、弃置不顾
装う	よそう	他五	装扮；盛水或饭等
予想	よそう	名，サ変	预计、预测；预料
装い	よそおい	名	打扮、服装；风情；装饰
装う	よそおう	他五	穿着、打扮；乔装、化妆
予測	よそく	名，サ変	预见、预测
余所見	よそみ	名，サ変	东张西望、往旁出看
余所者	よそもの	名	外来的人；局外人、圈外人
よそよそしい	よそよそしい	形	疏远、冷淡、见外
夜空	よぞら	名	夜空
与太者	よたもの	名	愚者；坏蛋、流氓
涎	よだれ	名	口水
余談	よだん	名	闲话、题外话、废话
よち	よち	名，サ変	预知
余地	よち	名	空地；余地
よちよち	よちよち	副，サ変	踉跄
四日	よっか	名	四天；四号
欲求	よっきゅう	名，サ変	强烈的希求、欲望
因って	よって	連語	因而、因此；根据；因为；利用
酔っ払う	よっぱらう	自五	喝醉酒；晕车、晕船
予定	よてい	名，サ変	预定、计划
与党	よとう	名	同党、朋友；执政党
淀む	よどむ	自五	淤塞、停滞；没有活力；不流利
夜中	よなか	名	半夜、夜半
世の中	よのなか	名	世上、社会；人生；时势、时代
余波	よは	名	余波；影响
呼ばわる	よばわる	自五	叫唤、呼唤
予備	よび	名	预备、准备
呼びかける	よびかける	他下一	打招呼、呼唤；号召、呼吁
呼び出す	よびだす	他五	叫来、唤来、传唤
呼び名	よびな	名	习惯称呼、通称
呼び戻す	よびもどす	他五	叫回来、召回；忆起
呼ぶ	よぶ	他五	呼喊；叫来；邀请；称呼、叫；引起；招致
夜更かし	よふかし	名	熬夜
夜更け	よふけ	名	也深、深夜
余分	よぶん	名，形動	多余、剩余；超额、额外
予報	よほう	名，サ変	预报
予防	よぼう	名，サ変	预防
余程	よほど	副	相当；差一点就、几乎要……
読み	よみ	名	读、念；判断
蘇る	よみがえる	自五	复苏、复活；恢复
読書き	よみかき	名，サ変	读和写
読み方	よみかた	名	读法、念法；念法；理解法
黄泉路	よみじ	名	黄泉之路、冥途
夜店	よみせ	名	夜市、夜摊
夜道	よみち	名	夜路、黑道
読み取る	よみとる	他五	读懂、领会、理解
読み物	よみもの	名	读书；读物；值得一读的文章
読む	よむ	他五	读、念、诵；阅读、理解；解毒；了解；观察、揣摩；点数；考虑棋的着数
嫁	よめ	名	儿媳妇；新娘；妻、媳妇
嫁入り	よめいり	名，サ変	出嫁
夜もすがら	よもすがら	副	通宵、整夜
四方山話	よもやまばなし	名	杂谈、闲聊、聊天
予約	よやく	名，サ変	预约；预定、预购；预约（见面、约会等）
余裕	よゆう	名	多余时间；富余时间；多余金钱；宽裕的心情；余地
寄り	より	名	聚集、集合；偏、靠
より	より	格助，副	出发点、起点；时间的起点；比较的基准；以外；更加；由于
寄り集まる	よりあつまる	自五	聚集、集合
寄り添う	よりそう	自五	贴近、挨近
拠り所	よりどころ	名	依靠、寄托；根据、依据
寄道	よりみち	名，サ変	顺路、顺道；绕道、绕远
依る，拠る，因る	よる	自五	按照；依据；缘于、因为；依靠、凭借；表示行为者
寄る	よる	自五	接近；偏向；聚集；顺路到；重叠、增多；依靠、凭借
夜	よる	名	夜间、晚上
よれよれ	よれよれ	副	皱巴巴
鎧	よろい	名	盔甲、铠甲
蹌踉ける	よろける	自下一	踉跄、东倒西歪
喜ばしい	よろこばしい	形	可喜、值得高兴、喜悦
喜び	よろこび	名	欢喜、高兴；喜事、喜庆事；道喜、贺喜
喜ぶ	よろこぶ	他五	高兴、欢喜；欣然接受
宜しい	よろしい	形	方便、适宜；好
宜しく	よろしく	副	好好地、适当地；请问好、请致意；请关照；活象
万	よろず	副	一切、万事、全部
よろめく	よろめく	自五	东倒西歪、踉跄；（俗）陷入迷魂阵
輿論	よろん	名	舆论、公论
弱い	よわい	形	软弱、虚弱；脆弱、易坏的；微弱；不擅长、经不住
弱気	よわき	名，形動	胆怯、软弱；股市低落、行情疲软
弱腰	よわごし	名	软弱、懦弱
世渡り	よわたり	名，サ変	处世、生活
弱音	よわね	名	泄气的话、不争气的话
弱み	よわみ	名	弱点、缺点
弱める	よわめる	他下一	使衰弱；使变弱；减弱、拧小
弱弱しい	よわよわしい	形	微弱、无力；虚弱、孱弱
弱る	よわる	自五	衰弱；困窘、为难、尴尬
雷雨	らいう	名	雷雨
来客	らいきゃく	名	来客
来月	らいげつ	名	下个月
礼賛	らいさん	名，サ変	颂扬、极为赞扬
来週	らいしゅう	名	下周
来世	らいせ	名	死后的世界、来世
来日	らいにち	名，サ変	来日本
来年	らいねん	名	明年、来年
来賓	らいひん	名	来宾
来訪	らいほう	名，サ変	来访
雷鳴	らいめい	名	雷鸣、雷声
裸眼	らがん	名	肉眼、裸视
楽	らく	名，形動	舒服、舒适、快乐；富裕；容易、轻松
烙印	らくいん	名	烙印
楽園	らくえん	名	乐园、天堂
落書き	らくがき	名，サ変	胡写、乱涂
落伍	らくご	名，サ変	落伍、掉队；落后
落語	らくご	名	单口相声
落差	らくさ	名	落差；差距
落札	らくさつ	名，サ変	中标、得标
落日	らくじつ	名	落日、夕阳
落成	らくせい	名，サ変	落成、竣工
落選	らくせん	名，サ変	落选、未能当选
駱駝	らくだ	名	骆驼
落第	らくだい	名，サ変	留级；不及格
落胆	らくたん	名，サ変	失望、灰心、气馁、沮丧
楽天家	らくてんか	名	乐天派、乐观主义者
落馬	らくば	名，サ変	坠马、落马
落雷	らくらい	名，サ変	落雷、霹雳
